vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     error_ratio(%)     memory(KB)     
17          TBDR-002    0                   31.04                56                  10.32                  13.83                 11.01                 0.0                232            
17          TBDR-003    0                   29.98                56                  10.5                   13.89                 11.52                 0.0                232            
17          TBDR-004    0                   29.8                 56                  10.5                   13.55                 11.06                 0.0                232            
17          TBDR-005    0                   29.72                56                  10.5                   13.68                 11.31                 0.0                232            
17          TBDR-006    0                   29.43                56                  10.5                   13.37                 11.32                 0.0                232            
17          TBDR-007    0                   29.41                56                  10.5                   13.81                 11.45                 0.0                232            
17          TBDR-008    0                   29.39                56                  10.5                   13.58                 11.7                  0.0                232            
17          TBDR-009    0                   29.3                 56                  10.5                   13.58                 11.57                 0.0                232            
18          TBDR-000    0                   36.87                56                  8.18                   13.56                 10.79                 0.0                335            
18          TBDR-001    0                   36.86                56                  8.18                   13.26                 11.23                 0.0                335            
18          TBDR-002    0                   36.85                56                  8.18                   13.96                 11.62                 0.0                335            
18          TBDR-003    0                   36.74                56                  8.18                   13.33                 11.78                 0.0                335            
18          TBDR-004    0                   36.73                56                  8.18                   13.68                 11.2                  0.0                335            
18          TBDR-005    0                   36.28                56                  8.18                   13.82                 11.21                 0.0                335            
18          TBDR-006    0                   33.57                56                  8.95                   13.77                 11.21                 0.0                335            
18          TBDR-007    0                   33.23                56                  8.95                   13.64                 11.6                  0.0                335            
18          TBDR-008    0                   32.77                56                  8.95                   13.61                 11.08                 0.0                335            
18          TBDR-009    0                   31.7                 56                  8.95                   13.61                 11.47                 0.0                335            
19          TBDR-000    4                   34.74                56                  0.0                    14.38                 11.98                 0.0                183            
19          TBDR-001    4                   34.73                56                  0.0                    14.94                 12.29                 0.0                183            
19          TBDR-002    4                   33.62                56                  0.0                    13.12                 11.21                 0.0                183            
19          TBDR-003    5                   33.47                56                  0.0                    13.58                 11.2                  0.0                183            
19          TBDR-004    5                   33.19                56                  0.0                    12.22                 10.65                 0.0                183            
19          TBDR-005    5                   33.07                56                  0.0                    13.14                 11.08                 0.0                183            
19          TBDR-006    7                   32.93                56                  0.0                    13.42                 11.63                 0.0                183            
19          TBDR-007    8                   32.9                 56                  0.0                    13.69                 11.91                 0.0                183            
19          TBDR-008    8                   32.81                56                  0.0                    13.23                 10.67                 0.0                183            
19          TBDR-009    9                   32.79                56                  0.0                    13.46                 11.18                 0.0                183            
